obsnme,obsval,weight,obgnme,oname,otype,usecol,time,i,j,totim
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3652.5,34.32687165,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,3652.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3683.5,34.44095011,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,3683.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3712.5,34.53481142,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,3712.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3743.5,34.58287511,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,3743.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3773.5,34.56176423,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,3773.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3804.5,34.4733321,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,3804.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3834.5,34.34322934,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,3834.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3865.5,34.19952566,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,3865.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3896.5,34.08179625,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,3896.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3926.5,34.01759245,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,3926.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3957.5,34.02259904,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,3957.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3987.5,34.09696931,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,3987.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4018.5,34.22284819,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,4018.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4049.5,34.36114354,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,4049.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4077.5,34.4624656,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,4077.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4108.5,34.51365367,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,4108.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4138.5,34.49078576,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,4138.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4169.5,34.3996194,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,4169.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4199.5,34.27000609,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,4199.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4230.5,34.1337846,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,4230.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4261.5,34.03484296,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,4261.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4291.5,34.00266335,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,4291.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4322.5,34.04474131,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,4322.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4352.5,34.1475333,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,4352.5,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4383.5,34.28576426,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,trgw-0-13-10,4383.5,,,
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3652.5,34.18602688,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,trgw-0-15-16,3652.5,,,
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3683.5,34.28926795,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,trgw-0-15-16,3683.5,,,
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3712.5,34.36978514,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,trgw-0-15-16,3712.5,,,
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3743.5,34.40758123,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,trgw-0-15-16,3743.5,,,
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3773.5,34.38490252,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,trgw-0-15-16,3773.5,,,
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3804.5,34.30530245,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,trgw-0-15-16,3804.5,,,
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3834.5,34.19210652,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,trgw-0-15-16,3834.5,,,
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3865.5,34.07049003,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,trgw-0-15-16,3865.5,,,
